Date:2022_05_03
Time:12_15_06 Eastern Daylight Time
pdh3 
# Time(sec), Measured F1(Hz) 
20.643825202506093,195824012.77090526
20.97150496762524,195859715.18706855
21.299184732744383,195810263.2765681
21.626864497863526,195770362.93236026
21.954544262982672,195800752.10527307
22.282224028101815,195844407.00882322
22.60990379322096,195842644.29872048
22.937583558340105,195815530.27933097
23.265263323459248,195828859.67402387
23.592943088578394,195832708.76132143
23.920622853697537,195820598.14612114
24.24830261881668,195823440.8049421
24.575982383935827,195819978.0028354
24.90366214905497,195833318.44771987
25.231341914174113,195830205.504871
25.55902167929326,195820441.19698042
25.886701444412402,195832854.79627904
26.21438120953155,195816736.28018308
26.542060974650692,195822401.7951011
26.869740739769835,195841637.3444578
27.19742050488898,195876356.35403734
27.525100270008124,195890012.0805959
27.852780035127267,195857620.98121017
28.180459800246414,195867641.331305
28.508139565365557,195885933.97534147
28.835819330484703,195845338.34156436
29.163499095603846,195825151.55131954
29.49117886072299,195825587.00884894
29.818858625842136,195829359.04792345
30.14653839096128,195829755.68914554
30.474218156080422,195808684.5009758
30.80189792119957,195842744.6078464
31.12957768631871,195860102.4541089
31.457257451437858,195837168.20002842
31.784937216557,195826511.4774999
32.11261698167614,195832374.04936358
32.44029674679528,195833338.1196913
32.767976511914426,195817298.77420926
33.09565627703357,195812592.93479636
33.42333604215271,195805426.56086925
33.751015807271855,195806033.20418644
34.078695572391,195804097.23913366
34.40637533751014,195815569.08362198
34.73405510262928,195841477.3285246
35.06173486774842,195827210.25566196
35.38941463286756,195808197.785802
35.717094397986706,195816285.22774753
36.04477416310585,195859388.16582295
36.37245392822499,195846419.7286935
36.700133693344135,195830302.36757958
37.02781345846328,195845401.4536355
37.355493223582414,195827351.70003504
37.68317298870156,195823867.7941267
38.0108527538207,195829738.36305052
38.33853251893984,195832933.462748
38.666212284058986,195824446.11466068
38.99389204917813,195844242.73361874
39.32157181429727,195828631.06368917
39.649251579416415,195818122.49789673
39.97693134453555,195841141.1060077
40.304611109654694,195859936.22499773
40.63229087477384,195850506.223437
40.95997063989298,195819932.05374143
41.28765040501212,195828940.73217285
41.615330170131266,195848569.7447533
41.94300993525041,195864689.18582606
42.27068970036955,195857018.32039207
42.59836946548869,195841767.14945084
42.92604923060783,195832139.93130243
43.25372899572697,195851960.36628026
43.58140876084612,195845899.4948789
43.90908852596526,195797898.66294757
44.2367682910844,195815397.22771674
44.564448056203545,195826648.25846702
44.89212782132269,195823329.3098228
45.219807586441824,195847090.6944362
45.54748735156097,195838356.546363
45.87516711668011,195815993.3539455
46.20284688179925,195842144.11255425
46.530526646918396,195812804.70910716
46.85820641203754,195810802.63472688
47.18588617715668,195840969.50177324
47.513565942275825,195826768.9161589
47.84124570739496,195800220.80300128
48.168925472514104,195834841.79394925
48.49660523763325,195855465.87251163
48.82428500275239,195822660.91979706
49.15196476787153,195806126.8872271
49.479644532990676,195820740.82612687
49.80732429810982,195811432.2396297
50.13500406322896,195824927.4660595
50.4626838283481,195861953.26137567
50.79036359346724,195870470.23083812
51.118043358586384,195834151.51572365
51.44572312370553,195831490.27539164
51.77340288882467,195857912.8839508
52.10108265394381,195866149.8346992
52.428762419062956,195857108.95081258
52.7564421841821,195810069.03712118
53.084121949301235,195843847.40191072
53.41180171442038,195848109.8295071
53.73948147953952,195839674.97020894
54.067161244658664,195840454.1899972
54.39484100977781,195826396.20535755
54.72252077489695,195840425.2240611
55.05020054001609,195828667.2924381
55.377880305135236,195823693.25552157
55.70556007025437,195860354.7186046
56.033239835373514,195860192.38548815
56.36091960049266,195852360.95820278
56.6885993656118,195864951.39431322
57.01627913073094,195833241.8582964
57.343958895850086,195825722.2573011
57.67163866096923,195835929.80592203
57.99931842608837,195820010.64178926
58.32699819120751,195808916.6439435
58.65467795632665,195821319.76244718
58.982357721445794,195827662.859533
59.31003748656494,195829683.04978508
59.63771725168408,195837471.21930653
59.96539701680322,195843669.38455448
60.293076781922366,195861008.2525958
60.62075654704151,195828383.88866723
60.948436312160645,195829623.72971076
61.27611607727979,195815364.12959126
61.60379584239893,195822169.7201004
61.931475607518074,195854333.6140108
62.25915537263722,195818761.81632286
62.58683513775636,195815528.57339275
62.9145149028755,195849422.8935876
63.242194667994646,195831239.40229553
63.56987443311378,195825220.7618726
63.897554198232925,195841384.86831817
64.22523396335208,195839827.7555348
